3350	15
1.0d0 1.0d0 4.0d0 12.0d0 16.0d0 20.0d0 24.0d0 28.0d0 32.0d0 36.0d0 40.0d0 44.0d0 48.0d0 52.0d0 56.0d0 
0.0d0 1.0d0 2.0d0 6.0d0 8.0d0 10.0d0 12.0d0 14.0d0 16.0d0 18.0d0 20.0d0 22.0d0 24.0d0 26.0d0 28.0d0 
   1.492496E+27   2.894754E+05   6.460012E-03   3.464180E-24   2.762612E-03   1.852246E-07   1.483536E-08   1.442391E-10   1.366243E-10   2.930700E-10   1.324610E-11   6.229701E-13   2.679807E-14   2.321323E-16   9.907298E-01   5.011993E-11   8.361857E-19
   5.182879E+27   4.383757E+05   6.458332E-03   0.000000E+00   2.774923E-03   1.873246E-07   1.508377E-08   1.474690E-10   1.403868E-10   3.026518E-10   1.374738E-11   6.496204E-13   2.808441E-14   2.443648E-16   9.907191E-01   5.333897E-11   8.937274E-19
   8.873263E+27   5.244389E+05   6.456736E-03   0.000000E+00   2.786521E-03   1.893131E-07   1.532033E-08   1.505607E-10   1.440066E-10   3.119164E-10   1.423445E-11   6.756369E-13   2.934632E-14   2.564178E-16   9.907090E-01   5.654368E-11   9.512690E-19
   1.625403E+28   6.417110E+05   6.454722E-03   0.000000E+00   2.801107E-03   1.918270E-07   1.562126E-08   1.545160E-10   1.486629E-10   3.238987E-10   1.486778E-11   7.096388E-13   3.100440E-14   2.723311E-16   9.906963E-01   6.082271E-11   1.028475E-18
   3.101557E+28   7.959937E+05   6.451402E-03   0.000000E+00   2.825001E-03   1.959772E-07   1.612260E-08   1.611595E-10   1.565471E-10   3.443489E-10   1.595721E-11   7.685665E-13   3.390059E-14   3.003234E-16   9.906756E-01   6.847461E-11   1.167534E-18
   6.053863E+28   9.948935E+05   6.445920E-03   7.263210E-25   2.863792E-03   2.027994E-07   1.695896E-08   1.723898E-10   1.700491E-10   3.798238E-10   1.787117E-11   8.733529E-13   3.911638E-14   3.513124E-16   9.906420E-01   8.278767E-11   1.430728E-18
   1.195848E+29   1.248542E+06   6.436855E-03   0.000000E+00   2.926434E-03   2.140332E-07   1.836893E-08   1.917221E-10   1.937795E-10   4.434645E-10   2.137511E-11   1.068935E-12   4.905112E-14   4.502220E-16   9.905880E-01   1.117482E-10   1.973565E-18
   1.487347E+29   1.342811E+06   6.429230E-03   0.000000E+00   2.979284E-03   2.237165E-07   1.961601E-08   2.092218E-10   2.157520E-10   5.037251E-10   2.476738E-11   1.262358E-12   5.909577E-14   5.522609E-16   9.905425E-01   1.430077E-10   2.572031E-18
   1.778847E+29   1.425457E+06   6.424447E-03   0.000000E+00   3.011825E-03   2.297696E-07   2.041055E-08   2.205572E-10   2.302237E-10   5.440708E-10   2.707561E-11   1.396013E-12   6.614921E-14   6.249590E-16   9.905145E-01   1.660161E-10   3.019413E-18
   2.361846E+29   1.566928E+06   6.417590E-03   1.497718E-24   3.057106E-03   2.383079E-07   2.155107E-08   2.370711E-10   2.516312E-10   6.046562E-10   3.059343E-11   1.602584E-12   7.721276E-14   7.405000E-16   9.904758E-01   2.036981E-10   3.762695E-18
