ni_mass,run_id,peak_luminosity_Lsun,peak_time_days,plateau_duration_days,luminosity_100d_Lsun,luminosity_150d_Lsun,luminosity_200d_Lsun
0.0,ni_000,302484125887.944,1.987284809375,30.104224537037034,28530438.213989988,2559406.3091650447,254759.362056028
0.05,ni_050,254962974162.08105,1.9872834510416666,30.989351851851858,151522056.25212866,58953444.65132353,34689345.4152076
0.15,ni_150,239789969079.53973,1.987290541898148,34.43310185185186,455236054.5809919,173923854.00250128,103907249.14707354
