time_h,M_g_snec,M_g_nakar_sari,nuLnu_g_snec_erg_s,nuLnu_g_nakar_sari_erg_s,ratio_nakar_sari_to_snec
1.76676335e+00,-1.28421945e+01,-1.14851122e+01,3.74526354e+40,1.07312896e+40,2.86529627e-01
1.78340826e+00,-1.28552295e+01,-1.14938368e+01,3.79049897e+40,1.08179819e+40,2.85397304e-01
1.80000728e+00,-1.28688657e+01,-1.15024675e+01,3.83840559e+40,1.09042912e+40,2.84083870e-01
1.81670128e+00,-1.28824021e+01,-1.15110754e+01,3.88656042e+40,1.09909452e+40,2.82793627e-01
1.83340002e+00,-1.28957481e+01,-1.15195655e+01,3.93462931e+40,1.10773701e+40,2.81535293e-01
1.85009710e+00,-1.29088868e+01,-1.15279877e+01,3.98253227e+40,1.11636431e+40,2.80315195e-01
1.86667196e+00,-1.29217233e+01,-1.15362829e+01,4.02989660e+40,1.12491441e+40,2.79142251e-01
1.88343802e+00,-1.29345063e+01,-1.15445696e+01,4.07762331e+40,1.13354039e+40,2.77990464e-01
1.90007918e+00,-1.29470003e+01,-1.15527193e+01,4.12481717e+40,1.14208543e+40,2.76881468e-01
1.91673645e+00,-1.29593195e+01,-1.15608147e+01,4.17188553e+40,1.15062484e+40,2.75804510e-01
1.93344097e+00,-1.29714918e+01,-1.15688480e+01,4.21892013e+40,1.15916927e+40,2.74754970e-01
1.95009158e+00,-1.29834494e+01,-1.15767710e+01,4.26564140e+40,1.16766677e+40,2.73737678e-01
1.96668044e+00,-1.29951942e+01,-1.15846064e+01,4.31203486e+40,1.17611924e+40,2.72752721e-01
1.98342301e+00,-1.30068806e+01,-1.15924455e+01,4.35869844e+40,1.18463399e+40,2.71786178e-01
2.00005886e+00,-1.30183307e+01,-1.16001425e+01,4.40490821e+40,1.19307260e+40,2.70850728e-01
2.01668853e+00,-1.30296552e+01,-1.16077812e+01,4.45109295e+40,1.20149475e+40,2.69932524e-01
2.03343769e+00,-1.30409494e+01,-1.16154185e+01,4.49763640e+40,1.20996386e+40,2.69022161e-01
2.05005494e+00,-1.30520397e+01,-1.16229017e+01,4.54381314e+40,1.21834326e+40,2.68132341e-01
2.06677062e+00,-1.30631187e+01,-1.16303735e+01,4.59041620e+40,1.22675844e+40,2.67243403e-01
2.08341869e+00,-1.30741223e+01,-1.16377624e+01,4.63717519e+40,1.23512644e+40,2.66353198e-01
2.10004519e+00,-1.30849697e+01,-1.16450630e+01,4.68373660e+40,1.24346370e+40,2.65485403e-01
2.11675992e+00,-1.30957346e+01,-1.16523384e+01,4.73040607e+40,1.25182883e+40,2.64634540e-01
2.13340896e+00,-1.31063180e+01,-1.16595352e+01,4.77674198e+40,1.26014816e+40,2.63809133e-01
2.15009250e+00,-1.31167835e+01,-1.16666820e+01,4.82300801e+40,1.26846782e+40,2.63003465e-01
2.16666696e+00,-1.31270419e+01,-1.16737113e+01,4.86879336e+40,1.27671438e+40,2.62223981e-01
2.18336137e+00,-1.31372352e+01,-1.16807441e+01,4.91471867e+40,1.28500798e+40,2.61461147e-01
2.20005076e+00,-1.31472869e+01,-1.16877224e+01,4.96043020e+40,1.29328507e+40,2.60720344e-01
2.21674168e+00,-1.31572020e+01,-1.16946236e+01,5.00593704e+40,1.30154172e+40,2.59999618e-01
2.23344735e+00,-1.31669888e+01,-1.17014852e+01,5.05126442e+40,1.30979310e+40,2.59300047e-01
2.25007459e+00,-1.31765885e+01,-1.17082697e+01,5.09612396e+40,1.31799333e+40,2.58626624e-01
2.26677678e+00,-1.31860851e+01,-1.17150108e+01,5.14089369e+40,1.32620980e+40,2.57972618e-01
2.28337059e+00,-1.31953910e+01,-1.17216602e+01,5.18514592e+40,1.33435932e+40,2.57342674e-01
2.30000737e+00,-1.32046036e+01,-1.17282842e+01,5.22932969e+40,1.34251780e+40,2.56728467e-01
2.31671083e+00,-1.32137348e+01,-1.17348726e+01,5.27349457e+40,1.35069108e+40,2.56128277e-01
