time_h,M_g_snec,M_g_nakar_sari,nuLnu_g_snec_erg_s,nuLnu_g_nakar_sari_erg_s,ratio_nakar_sari_to_snec
9.20002011e+00,-1.45091102e+01,-1.28836284e+01,1.73879612e+41,3.89095416e+40,2.23772880e-01
9.21675131e+00,-1.45100816e+01,-1.28849610e+01,1.74035251e+41,3.89573256e+40,2.23847327e-01
9.23335547e+00,-1.45110396e+01,-1.28862810e+01,1.74188879e+41,3.90047041e+40,2.23921897e-01
9.25006869e+00,-1.45119979e+01,-1.28876054e+01,1.74342690e+41,3.90523256e+40,2.23997493e-01
9.26678008e+00,-1.45129502e+01,-1.28889273e+01,1.74495673e+41,3.90999017e+40,2.24073760e-01
9.28337686e+00,-1.45138902e+01,-1.28902378e+01,1.74646812e+41,3.91471122e+40,2.24150167e-01
9.30009225e+00,-1.45148314e+01,-1.28915537e+01,1.74798275e+41,3.91945946e+40,2.24227582e-01
9.31669164e+00,-1.45157604e+01,-1.28928577e+01,1.74947904e+41,3.92417026e+40,2.24305075e-01
9.33340769e+00,-1.45166899e+01,-1.28941686e+01,1.75097741e+41,3.92891022e+40,2.24383832e-01
9.35001044e+00,-1.45176285e+01,-1.28954672e+01,1.75249175e+41,3.93361242e+40,2.24458255e-01
9.36673569e+00,-1.45185679e+01,-1.28967723e+01,1.75400870e+41,3.93834398e+40,2.24533891e-01
9.38335217e+00,-1.45194953e+01,-1.28980665e+01,1.75550756e+41,3.94304085e+40,2.24609734e-01
9.40009422e+00,-1.45204238e+01,-1.28993676e+01,1.75700947e+41,3.94776841e+40,2.24686803e-01
9.41673289e+00,-1.45213410e+01,-1.29006570e+01,1.75849437e+41,3.95246063e+40,2.24763905e-01
9.43338694e+00,-1.45222535e+01,-1.29019454e+01,1.75997291e+41,3.95715330e+40,2.24841716e-01
9.45005511e+00,-1.45231611e+01,-1.29032325e+01,1.76144474e+41,3.96184602e+40,2.24920256e-01
9.46673508e+00,-1.45240636e+01,-1.29045165e+01,1.76290952e+41,3.96653512e+40,2.24999359e-01
9.48342294e+00,-1.45249610e+01,-1.29057987e+01,1.76436723e+41,3.97122254e+40,2.25079137e-01
9.50011408e+00,-1.45258532e+01,-1.29070790e+01,1.76581769e+41,3.97590697e+40,2.25159539e-01
9.51669269e+00,-1.45267329e+01,-1.29083470e+01,1.76724899e+41,3.98055376e+40,2.25240120e-01
9.53339853e+00,-1.45276132e+01,-1.29096221e+01,1.76868244e+41,3.98523153e+40,2.25322050e-01
9.55011686e+00,-1.45284881e+01,-1.29108958e+01,1.77010824e+41,3.98990890e+40,2.25404798e-01
9.56672717e+00,-1.45293516e+01,-1.29121582e+01,1.77151659e+41,3.99455081e+40,2.25487633e-01
9.58333761e+00,-1.45302095e+01,-1.29134175e+01,1.77291691e+41,3.99918731e+40,2.25571051e-01
9.60006400e+00,-1.45310678e+01,-1.29146834e+01,1.77431900e+41,4.00385232e+40,2.25655721e-01
9.61667228e+00,-1.45319147e+01,-1.29159378e+01,1.77570355e+41,4.00847998e+40,2.25740382e-01
9.63339569e+00,-1.45327620e+01,-1.29171972e+01,1.77708984e+41,4.01313345e+40,2.25826144e-01
9.65000072e+00,-1.45335978e+01,-1.29184455e+01,1.77845837e+41,4.01775016e+40,2.25911960e-01
9.66672325e+00,-1.45344342e+01,-1.29197005e+01,1.77982894e+41,4.02239569e+40,2.25999005e-01
9.68344506e+00,-1.45352648e+01,-1.29209516e+01,1.78119105e+41,4.02703442e+40,2.26086608e-01
9.70004608e+00,-1.45360790e+01,-1.29221914e+01,1.78252727e+41,4.03163561e+40,2.26175255e-01
9.71676028e+00,-1.45368885e+01,-1.29234374e+01,1.78385678e+41,4.03626435e+40,2.26266166e-01
9.73335589e+00,-1.45376865e+01,-1.29246714e+01,1.78516837e+41,4.04085455e+40,2.26357055e-01
9.75006761e+00,-1.45384843e+01,-1.29259112e+01,1.78648059e+41,4.04547203e+40,2.26449257e-01
9.76677703e+00,-1.45392763e+01,-1.29271487e+01,1.78778423e+41,4.05008506e+40,2.26542162e-01
9.78336681e+00,-1.45400716e+01,-1.29283746e+01,1.78909426e+41,4.05466019e+40,2.26632005e-01
9.80006753e+00,-1.45408720e+01,-1.29296054e+01,1.79041366e+41,4.05926030e+40,2.26721924e-01
9.81676053e+00,-1.45416667e+01,-1.29308336e+01,1.79172463e+41,4.06385450e+40,2.26812448e-01
9.83344758e+00,-1.45424561e+01,-1.29320591e+01,1.79302780e+41,4.06844299e+40,2.26903509e-01
9.85001319e+00,-1.45432343e+01,-1.29332720e+01,1.79431341e+41,4.07299171e+40,2.26994442e-01
9.86669114e+00,-1.45440119e+01,-1.29344911e+01,1.79559895e+41,4.07756757e+40,2.27086765e-01
9.88336322e+00,-1.45447835e+01,-1.29357077e+01,1.79687548e+41,4.08213807e+40,2.27179797e-01
9.90003147e+00,-1.45455497e+01,-1.29369205e+01,1.79814398e+41,4.08670132e+40,2.27273309e-01
9.91670092e+00,-1.45463107e+01,-1.29381311e+01,1.79940475e+41,4.09126069e+40,2.27367450e-01
9.93337767e+00,-1.45470665e+01,-1.29393401e+01,1.80065779e+41,4.09581833e+40,2.27462340e-01
9.95006358e+00,-1.45478171e+01,-1.29405468e+01,1.80190306e+41,4.10037310e+40,2.27557919e-01
9.96675147e+00,-1.45485623e+01,-1.29417508e+01,1.80314023e+41,4.10492342e+40,2.27654142e-01
9.98343897e+00,-1.45493022e+01,-1.29429528e+01,1.80436944e+41,4.10946990e+40,2.27751025e-01
1.00000095e+01,-1.45500316e+01,-1.29441439e+01,1.80558203e+41,4.11398001e+40,2.27847860e-01
1.00166977e+01,-1.45507604e+01,-1.29453402e+01,1.80679443e+41,4.11851640e+40,2.27946043e-01
1.00333851e+01,-1.45514832e+01,-1.29465345e+01,1.80799766e+41,4.12304889e+40,2.28045035e-01
1.00500709e+01,-1.45522004e+01,-1.29477265e+01,1.80919235e+41,4.12757717e+40,2.28144739e-01
1.00667522e+01,-1.45529118e+01,-1.29489147e+01,1.81037817e+41,4.13209770e+40,2.28245003e-01
1.00834286e+01,-1.45536178e+01,-1.29501005e+01,1.81155575e+41,4.13661325e+40,2.28345899e-01
1.01001013e+01,-1.45543185e+01,-1.29512841e+01,1.81272525e+41,4.14112410e+40,2.28447423e-01
1.01167724e+01,-1.45550141e+01,-1.29524643e+01,1.81388698e+41,4.14562875e+40,2.28549452e-01
1.01334450e+01,-1.45557046e+01,-1.29536423e+01,1.81504093e+41,4.15012938e+40,2.28652110e-01
1.01500053e+01,-1.45563852e+01,-1.29548104e+01,1.81617906e+41,4.15459611e+40,2.28754764e-01
1.01666867e+01,-1.45570652e+01,-1.29559843e+01,1.81731689e+41,4.15909050e+40,2.28858848e-01
1.01833694e+01,-1.45577393e+01,-1.29571555e+01,1.81844556e+41,4.16358010e+40,2.28963693e-01
1.02000519e+01,-1.45584196e+01,-1.29583248e+01,1.81958531e+41,4.16806600e+40,2.29066808e-01
1.02167352e+01,-1.45591013e+01,-1.29594918e+01,1.82072813e+41,4.17254788e+40,2.29169188e-01
1.02334235e+01,-1.45597782e+01,-1.29606560e+01,1.82186362e+41,4.17702525e+40,2.29272115e-01
1.02500045e+01,-1.45604460e+01,-1.29618108e+01,1.82298453e+41,4.18147021e+40,2.29374970e-01
1.02667129e+01,-1.45611138e+01,-1.29629725e+01,1.82410613e+41,4.18594572e+40,2.29479286e-01
1.02834308e+01,-1.45617771e+01,-1.29641315e+01,1.82522086e+41,4.19041750e+40,2.29584134e-01
1.03000382e+01,-1.45624310e+01,-1.29652809e+01,1.82632045e+41,4.19485595e+40,2.29688932e-01
1.03167718e+01,-1.45630848e+01,-1.29664370e+01,1.82742054e+41,4.19932452e+40,2.29795190e-01
1.03334000e+01,-1.45637291e+01,-1.29675830e+01,1.82850530e+41,4.20375950e+40,2.29901412e-01
1.03500343e+01,-1.45643680e+01,-1.29687270e+01,1.82958160e+41,4.20819159e+40,2.30008413e-01
1.03666693e+01,-1.45650012e+01,-1.29698691e+01,1.83064892e+41,4.21262031e+40,2.30116232e-01
1.03834214e+01,-1.45656334e+01,-1.29710169e+01,1.83171517e+41,4.21707553e+40,2.30225506e-01
1.04000559e+01,-1.45662559e+01,-1.29721537e+01,1.83276568e+41,4.22149417e+40,2.30334637e-01
1.04166893e+01,-1.45668733e+01,-1.29732887e+01,1.83380817e+41,4.22590900e+40,2.30444442e-01
1.04334408e+01,-1.45674902e+01,-1.29744296e+01,1.83485041e+41,4.23035125e+40,2.30555648e-01
1.04500761e+01,-1.45680980e+01,-1.29755594e+01,1.83587785e+41,4.23475666e+40,2.30666580e-01
1.04667114e+01,-1.45687007e+01,-1.29766874e+01,1.83689725e+41,4.23915858e+40,2.30778210e-01
1.04833469e+01,-1.45692982e+01,-1.29778136e+01,1.83790840e+41,4.24355704e+40,2.30890562e-01
1.05000994e+01,-1.45698949e+01,-1.29789446e+01,1.83891876e+41,4.24798048e+40,2.31004250e-01
1.05167343e+01,-1.45704825e+01,-1.29800656e+01,1.83991425e+41,4.25236894e+40,2.31117778e-01
1.05333673e+01,-1.45710653e+01,-1.29811846e+01,1.84090214e+41,4.25675338e+40,2.31231920e-01
1.05501157e+01,-1.45716468e+01,-1.29823088e+01,1.84188836e+41,4.26116310e+40,2.31347523e-01
1.05667480e+01,-1.45722190e+01,-1.29834227e+01,1.84285932e+41,4.26553759e+40,2.31463007e-01
1.05833835e+01,-1.45727864e+01,-1.29845350e+01,1.84382264e+41,4.26990942e+40,2.31579184e-01
1.06000236e+01,-1.45733662e+01,-1.29856454e+01,1.84480753e+41,4.27427812e+40,2.31692360e-01
1.06167793e+01,-1.45739446e+01,-1.29867607e+01,1.84579057e+41,4.27867177e+40,2.31807001e-01
1.06334202e+01,-1.45745139e+01,-1.29878665e+01,1.84675866e+41,4.28303180e+40,2.31921577e-01
1.06500566e+01,-1.45750780e+01,-1.29889703e+01,1.84771840e+41,4.28738708e+40,2.32036824e-01
1.06666871e+01,-1.45756372e+01,-1.29900705e+01,1.84867030e+41,4.29173474e+40,2.32152523e-01
1.06834349e+01,-1.45761955e+01,-1.29911766e+01,1.84962115e+41,4.29610954e+40,2.32269702e-01
1.07000677e+01,-1.45767454e+01,-1.29922734e+01,1.85055818e+41,4.30045085e+40,2.32386687e-01
1.07167039e+01,-1.45772907e+01,-1.29933676e+01,1.85148784e+41,4.30478754e+40,2.32504230e-01
1.07333431e+01,-1.45778307e+01,-1.29944600e+01,1.85240892e+41,4.30912090e+40,2.32622552e-01
1.07501029e+01,-1.45783693e+01,-1.29955584e+01,1.85332807e+41,4.31348221e+40,2.32742507e-01
1.07667509e+01,-1.45788991e+01,-1.29966471e+01,1.85423265e+41,4.31780964e+40,2.32862346e-01
1.07834029e+01,-1.45794241e+01,-1.29977336e+01,1.85512946e+41,4.32213328e+40,2.32982838e-01
1.08000567e+01,-1.45799447e+01,-1.29988186e+01,1.85601919e+41,4.32645397e+40,2.33103945e-01
1.08167103e+01,-1.45804605e+01,-1.29999014e+01,1.85690114e+41,4.33077058e+40,2.33225694e-01
1.08333614e+01,-1.45809715e+01,-1.30009813e+01,1.85777529e+41,4.33508103e+40,2.33347975e-01
1.08500073e+01,-1.45814776e+01,-1.30020592e+01,1.85864147e+41,4.33938673e+40,2.33470887e-01
1.08667631e+01,-1.45819824e+01,-1.30031424e+01,1.85950583e+41,4.34371737e+40,2.33595255e-01
1.08833923e+01,-1.45824784e+01,-1.30042145e+01,1.86035550e+41,4.34800940e+40,2.33719276e-01
1.09000108e+01,-1.45829685e+01,-1.30052841e+01,1.86119545e+41,4.35229511e+40,2.33844065e-01
1.09167356e+01,-1.45834561e+01,-1.30063589e+01,1.86203150e+41,4.35660483e+40,2.33970523e-01
1.09333335e+01,-1.45839350e+01,-1.30074229e+01,1.86285299e+41,4.36087666e+40,2.34096662e-01
1.09500376e+01,-1.45844139e+01,-1.30084916e+01,1.86367484e+41,4.36517158e+40,2.34223883e-01
1.09667328e+01,-1.45849038e+01,-1.30095580e+01,1.86451595e+41,4.36946079e+40,2.34348265e-01
1.09834261e+01,-1.45853790e+01,-1.30106221e+01,1.86533218e+41,4.37374506e+40,2.34475398e-01
1.10000040e+01,-1.45858411e+01,-1.30116764e+01,1.86612626e+41,4.37799479e+40,2.34603354e-01
1.10166999e+01,-1.45863021e+01,-1.30127365e+01,1.86691877e+41,4.38227139e+40,2.34732836e-01
1.10333926e+01,-1.45867589e+01,-1.30137946e+01,1.86770441e+41,4.38654344e+40,2.34862831e-01
1.10500811e+01,-1.45872112e+01,-1.30148496e+01,1.86848262e+41,4.39080877e+40,2.34993289e-01
1.10667680e+01,-1.45876581e+01,-1.30159029e+01,1.86925187e+41,4.39507029e+40,2.35124563e-01
1.10833420e+01,-1.45880966e+01,-1.30169474e+01,1.87000696e+41,4.39929968e+40,2.35255791e-01
1.11000405e+01,-1.45885335e+01,-1.30179970e+01,1.87075960e+41,4.40355521e+40,2.35388620e-01
1.11167466e+01,-1.45889658e+01,-1.30190452e+01,1.87150462e+41,4.40780897e+40,2.35522206e-01
1.11334497e+01,-1.45893933e+01,-1.30200916e+01,1.87224165e+41,4.41205859e+40,2.35656470e-01
1.11500304e+01,-1.45898130e+01,-1.30211280e+01,1.87296552e+41,4.41627224e+40,2.35790365e-01
1.11667236e+01,-1.45902311e+01,-1.30221692e+01,1.87368691e+41,4.42051007e+40,2.35925759e-01
1.11834142e+01,-1.45906447e+01,-1.30232087e+01,1.87440081e+41,4.42474390e+40,2.36061779e-01
1.12001047e+01,-1.45910541e+01,-1.30242462e+01,1.87510773e+41,4.42897358e+40,2.36198354e-01
1.12166770e+01,-1.45914562e+01,-1.30252738e+01,1.87580230e+41,4.43316820e+40,2.36334512e-01
1.12333654e+01,-1.45918556e+01,-1.30263071e+01,1.87649246e+41,4.43738893e+40,2.36472516e-01
1.12500526e+01,-1.45922503e+01,-1.30273386e+01,1.87717475e+41,4.44160594e+40,2.36611213e-01
1.12667388e+01,-1.45926404e+01,-1.30283673e+01,1.87784933e+41,4.44581690e+40,2.36750459e-01
1.12834266e+01,-1.45930258e+01,-1.30293944e+01,1.87851602e+41,4.45002495e+40,2.36890445e-01
1.13000049e+01,-1.45934213e+01,-1.30304133e+01,1.87920043e+41,4.45420215e+40,2.37026454e-01
1.13167116e+01,-1.45938158e+01,-1.30314375e+01,1.87988336e+41,4.45840639e+40,2.37163991e-01
1.13334306e+01,-1.45942062e+01,-1.30324606e+01,1.88055943e+41,4.46260985e+40,2.37302250e-01
1.13500438e+01,-1.45945901e+01,-1.30334757e+01,1.88122449e+41,4.46678347e+40,2.37440215e-01
1.13666676e+01,-1.45949700e+01,-1.30344892e+01,1.88188284e+41,4.47095518e+40,2.37578826e-01
1.13834214e+01,-1.45953471e+01,-1.30355085e+01,1.88253658e+41,4.47515496e+40,2.37719416e-01
1.14000734e+01,-1.45957168e+01,-1.30365200e+01,1.88317770e+41,4.47932595e+40,2.37859972e-01
1.14167389e+01,-1.45960822e+01,-1.30375306e+01,1.88381158e+41,4.48349648e+40,2.38001322e-01
1.14334140e+01,-1.45964435e+01,-1.30385392e+01,1.88443856e+41,4.48766419e+40,2.38143300e-01
1.14500940e+01,-1.45968009e+01,-1.30395466e+01,1.88505898e+41,4.49182985e+40,2.38285905e-01
1.14667664e+01,-1.45971545e+01,-1.30405520e+01,1.88567300e+41,4.49599038e+40,2.38428952e-01
1.14834252e+01,-1.45975037e+01,-1.30415539e+01,1.88627958e+41,4.50014187e+40,2.38572369e-01
1.15000700e+01,-1.45978483e+01,-1.30425533e+01,1.88687836e+41,4.50428650e+40,2.38716316e-01
1.15167015e+01,-1.45981881e+01,-1.30435505e+01,1.88746898e+41,4.50842464e+40,2.38860860e-01
1.15334394e+01,-1.45985239e+01,-1.30445517e+01,1.88805283e+41,4.51258426e+40,2.39007309e-01
1.15500522e+01,-1.45988520e+01,-1.30455435e+01,1.88862347e+41,4.51670876e+40,2.39153480e-01
1.15667757e+01,-1.45991777e+01,-1.30465405e+01,1.88919011e+41,4.52085755e+40,2.39301356e-01
1.15833759e+01,-1.45994968e+01,-1.30475281e+01,1.88974543e+41,4.52497150e+40,2.39448734e-01
1.16000854e+01,-1.45998237e+01,-1.30485200e+01,1.89031449e+41,4.52910783e+40,2.39595467e-01
1.16166697e+01,-1.46001523e+01,-1.30495030e+01,1.89088668e+41,4.53321003e+40,2.39739910e-01
1.16333592e+01,-1.46004793e+01,-1.30504905e+01,1.89145626e+41,4.53733466e+40,2.39885783e-01
1.16500355e+01,-1.46008025e+01,-1.30514748e+01,1.89201939e+41,4.54145069e+40,2.40031932e-01
1.16666979e+01,-1.46011208e+01,-1.30524568e+01,1.89257415e+41,4.54556011e+40,2.40178707e-01
1.16833504e+01,-1.46014331e+01,-1.30534368e+01,1.89311860e+41,4.54966393e+40,2.40326408e-01
1.17001158e+01,-1.46017426e+01,-1.30544209e+01,1.89365833e+41,4.55379014e+40,2.40475806e-01
1.17167655e+01,-1.46020452e+01,-1.30553966e+01,1.89418618e+41,4.55788439e+40,2.40624942e-01
1.17334161e+01,-1.46023435e+01,-1.30563709e+01,1.89470667e+41,4.56197569e+40,2.40774774e-01
1.17500644e+01,-1.46026376e+01,-1.30573429e+01,1.89521997e+41,4.56606181e+40,2.40925164e-01
1.17667099e+01,-1.46029278e+01,-1.30583128e+01,1.89572660e+41,4.57014306e+40,2.41076064e-01
1.17833569e+01,-1.46032142e+01,-1.30592814e+01,1.89622673e+41,4.57422155e+40,2.41227565e-01
1.18000077e+01,-1.46034969e+01,-1.30602484e+01,1.89672052e+41,4.57829699e+40,2.41379630e-01
1.18167782e+01,-1.46037761e+01,-1.30612201e+01,1.89720833e+41,4.58239692e+40,2.41533670e-01
1.18334338e+01,-1.46040489e+01,-1.30621837e+01,1.89768508e+41,4.58646557e+40,2.41687392e-01
1.18500924e+01,-1.46043172e+01,-1.30631460e+01,1.89815408e+41,4.59053172e+40,2.41841891e-01
1.18667538e+01,-1.46045808e+01,-1.30641060e+01,1.89861498e+41,4.59459306e+40,2.41997093e-01
1.18834193e+01,-1.46048524e+01,-1.30650648e+01,1.89908998e+41,4.59865229e+40,2.42150310e-01
1.19000820e+01,-1.46051257e+01,-1.30660220e+01,1.89956808e+41,4.60270771e+40,2.42302856e-01
1.19167419e+01,-1.46053953e+01,-1.30669767e+01,1.90003982e+41,4.60675741e+40,2.42455834e-01
1.19334004e+01,-1.46056611e+01,-1.30679298e+01,1.90050503e+41,4.61080312e+40,2.42609362e-01
1.19500591e+01,-1.46059216e+01,-1.30688814e+01,1.90096107e+41,4.61484576e+40,2.42763823e-01
1.19667160e+01,-1.46061773e+01,-1.30698310e+01,1.90140882e+41,4.61888363e+40,2.42919019e-01
1.19833707e+01,-1.46064287e+01,-1.30707785e+01,1.90184913e+41,4.62291669e+40,2.43074837e-01
1.20000239e+01,-1.46066761e+01,-1.30717245e+01,1.90228255e+41,4.62694628e+40,2.43231285e-01
1.20166760e+01,-1.46069197e+01,-1.30726688e+01,1.90270940e+41,4.63097191e+40,2.43388292e-01
1.20334449e+01,-1.46071608e+01,-1.30736176e+01,1.90313196e+41,4.63502084e+40,2.43547002e-01
1.20500977e+01,-1.46073959e+01,-1.30745583e+01,1.90354410e+41,4.63903861e+40,2.43705339e-01
1.20667525e+01,-1.46076269e+01,-1.30754978e+01,1.90394914e+41,4.64305379e+40,2.43864381e-01
1.20834118e+01,-1.46078525e+01,-1.30764352e+01,1.90434479e+41,4.64706466e+40,2.44024332e-01
1.21000815e+01,-1.46080733e+01,-1.30773717e+01,1.90473211e+41,4.65107487e+40,2.44185250e-01
1.21167614e+01,-1.46082898e+01,-1.30783074e+01,1.90511196e+41,4.65508444e+40,2.44347027e-01
1.21334464e+01,-1.46085066e+01,-1.30792413e+01,1.90549241e+41,4.65909052e+40,2.44508479e-01
1.21500171e+01,-1.46087330e+01,-1.30801671e+01,1.90588979e+41,4.66306539e+40,2.44666056e-01
1.21667087e+01,-1.46089576e+01,-1.30810983e+01,1.90628409e+41,4.66706619e+40,2.44825323e-01
1.21834087e+01,-1.46091786e+01,-1.30820282e+01,1.90667215e+41,4.67106492e+40,2.44985218e-01
1.22000040e+01,-1.46093935e+01,-1.30829503e+01,1.90704958e+41,4.67503418e+40,2.45144869e-01
1.22167283e+01,-1.46096045e+01,-1.30838782e+01,1.90742022e+41,4.67903123e+40,2.45306785e-01
1.22333466e+01,-1.46098093e+01,-1.30847988e+01,1.90778005e+41,4.68299956e+40,2.45468525e-01
1.22500798e+01,-1.46100111e+01,-1.30857235e+01,1.90813467e+41,4.68699026e+40,2.45632047e-01
1.22666880e+01,-1.46102073e+01,-1.30866399e+01,1.90847952e+41,4.69094813e+40,2.45795047e-01
1.22834059e+01,-1.46104011e+01,-1.30875611e+01,1.90882020e+41,4.69492910e+40,2.45959734e-01
1.23000001e+01,-1.46105899e+01,-1.30884732e+01,1.90915216e+41,4.69887551e+40,2.46123678e-01
1.23167053e+01,-1.46107767e+01,-1.30893900e+01,1.90948066e+41,4.70284502e+40,2.46289220e-01
1.23334027e+01,-1.46109584e+01,-1.30903050e+01,1.90980024e+41,4.70680965e+40,2.46455601e-01
1.23500909e+01,-1.46111345e+01,-1.30912176e+01,1.91011002e+41,4.71076762e+40,2.46622842e-01
1.23667675e+01,-1.46113065e+01,-1.30921279e+01,1.91041264e+41,4.71471892e+40,2.46790605e-01
1.23834311e+01,-1.46114927e+01,-1.30930361e+01,1.91074030e+41,4.71866411e+40,2.46954760e-01
1.24000844e+01,-1.46116747e+01,-1.30939421e+01,1.91106062e+41,4.72260309e+40,2.47119481e-01
1.24167299e+01,-1.46118530e+01,-1.30948457e+01,1.91137448e+41,4.72653569e+40,2.47284650e-01
1.24333664e+01,-1.46120277e+01,-1.30957475e+01,1.91168205e+41,4.73046317e+40,2.47450310e-01
1.24501090e+01,-1.46121994e+01,-1.30966538e+01,1.91198439e+41,4.73441254e+40,2.47617740e-01
1.24667271e+01,-1.46123654e+01,-1.30975510e+01,1.91227674e+41,4.73832738e+40,2.47784605e-01
1.24833410e+01,-1.46125122e+01,-1.30984468e+01,1.91253532e+41,4.74223828e+40,2.47955593e-01
1.25000689e+01,-1.46126503e+01,-1.30993474e+01,1.91277860e+41,4.74617302e+40,2.48129764e-01
1.25166774e+01,-1.46127829e+01,-1.31002395e+01,1.91301222e+41,4.75007485e+40,2.48303425e-01
1.25333965e+01,-1.46129122e+01,-1.31011361e+01,1.91324005e+41,4.75399924e+40,2.48478974e-01
1.25501116e+01,-1.46130377e+01,-1.31020312e+01,1.91346121e+41,4.75791968e+40,2.48655141e-01
1.25667115e+01,-1.46131579e+01,-1.31029184e+01,1.91367306e+41,4.76180897e+40,2.48830852e-01
1.25834346e+01,-1.46132746e+01,-1.31038104e+01,1.91387876e+41,4.76572304e+40,2.49008617e-01
1.26000514e+01,-1.46134070e+01,-1.31046954e+01,1.91411216e+41,4.76960931e+40,2.49181286e-01
1.26166774e+01,-1.46135358e+01,-1.31055795e+01,1.91433925e+41,4.77349417e+40,2.49354663e-01
1.26334152e+01,-1.46136609e+01,-1.31064675e+01,1.91455983e+41,4.77740051e+40,2.49529967e-01
1.26500307e+01,-1.46137807e+01,-1.31073478e+01,1.91477110e+41,4.78127534e+40,2.49704800e-01
1.26667601e+01,-1.46138972e+01,-1.31082328e+01,1.91497656e+41,4.78517379e+40,2.49881585e-01
1.26833717e+01,-1.46140085e+01,-1.31091095e+01,1.91517288e+41,4.78903963e+40,2.50057824e-01
1.27000984e+01,-1.46141158e+01,-1.31099909e+01,1.91536216e+41,4.79292925e+40,2.50236188e-01
1.27167096e+01,-1.46142182e+01,-1.31108651e+01,1.91554281e+41,4.79678913e+40,2.50414091e-01
1.27334388e+01,-1.46143174e+01,-1.31117435e+01,1.91571784e+41,4.80067185e+40,2.50593890e-01
1.27500525e+01,-1.46144122e+01,-1.31126143e+01,1.91588511e+41,4.80452419e+40,2.50773084e-01
1.27666678e+01,-1.46145026e+01,-1.31134840e+01,1.91604464e+41,4.80837402e+40,2.50953131e-01
1.27834058e+01,-1.46145891e+01,-1.31143585e+01,1.91619730e+41,4.81224832e+40,2.51135326e-01
1.28000372e+01,-1.46146906e+01,-1.31152257e+01,1.91637644e+41,4.81609378e+40,2.51312512e-01
1.28166779e+01,-1.46147881e+01,-1.31160922e+01,1.91654854e+41,4.81993853e+40,2.51490553e-01
1.28334409e+01,-1.46148807e+01,-1.31169636e+01,1.91671201e+41,4.82380818e+40,2.51670995e-01
1.28500912e+01,-1.46149659e+01,-1.31178272e+01,1.91686242e+41,4.82764706e+40,2.51851516e-01
1.28667468e+01,-1.46150439e+01,-1.31186898e+01,1.91700013e+41,4.83148428e+40,2.52033591e-01
1.28834109e+01,-1.46151147e+01,-1.31195517e+01,1.91712514e+41,4.83532056e+40,2.52217262e-01
1.29000854e+01,-1.46151779e+01,-1.31204121e+01,1.91723674e+41,4.83915433e+40,2.52402545e-01
1.29167686e+01,-1.46152330e+01,-1.31212716e+01,1.91733404e+41,4.84298698e+40,2.52589631e-01
1.29333421e+01,-1.46152786e+01,-1.31221243e+01,1.91741457e+41,4.84679159e+40,2.52777447e-01
1.29500392e+01,-1.46153150e+01,-1.31229816e+01,1.91747885e+41,4.85062027e+40,2.52968645e-01
1.29667324e+01,-1.46153426e+01,-1.31238372e+01,1.91752760e+41,4.85444436e+40,2.53161642e-01
1.29834182e+01,-1.46153769e+01,-1.31246912e+01,1.91758818e+41,4.85826388e+40,2.53352828e-01
1.30000981e+01,-1.46154143e+01,-1.31255434e+01,1.91765423e+41,4.86207837e+40,2.53543016e-01
1.30167757e+01,-1.46154460e+01,-1.31263937e+01,1.91771022e+41,4.86588803e+40,2.53734270e-01
1.30333382e+01,-1.46154691e+01,-1.31272369e+01,1.91775102e+41,4.86966860e+40,2.53926007e-01
1.30500185e+01,-1.46154824e+01,-1.31280849e+01,1.91777452e+41,4.87347300e+40,2.54121273e-01
1.30666991e+01,-1.46154861e+01,-1.31289310e+01,1.91778105e+41,4.87727257e+40,2.54318530e-01
1.30833777e+01,-1.46154816e+01,-1.31297757e+01,1.91777310e+41,4.88106887e+40,2.54517537e-01
1.31000555e+01,-1.46154706e+01,-1.31306193e+01,1.91775367e+41,4.88486212e+40,2.54717912e-01
1.31167311e+01,-1.46154540e+01,-1.31314608e+01,1.91772435e+41,4.88865025e+40,2.54919339e-01
1.31334032e+01,-1.46154324e+01,-1.31323009e+01,1.91768620e+41,4.89243431e+40,2.55121735e-01
1.31500724e+01,-1.46154036e+01,-1.31331396e+01,1.91763533e+41,4.89621490e+40,2.55325651e-01
1.31667409e+01,-1.46153840e+01,-1.31339767e+01,1.91760072e+41,4.89999131e+40,2.55527194e-01
1.31834125e+01,-1.46153580e+01,-1.31348124e+01,1.91755480e+41,4.90376458e+40,2.55730089e-01
1.32000869e+01,-1.46153236e+01,-1.31356471e+01,1.91749404e+41,4.90753566e+40,2.55934858e-01
1.32167597e+01,-1.46152826e+01,-1.31364803e+01,1.91742163e+41,4.91130300e+40,2.56141003e-01
1.32334258e+01,-1.46152355e+01,-1.31373114e+01,1.91733846e+41,4.91506438e+40,2.56348292e-01
1.32500850e+01,-1.46151836e+01,-1.31381410e+01,1.91724681e+41,4.91882141e+40,2.56556506e-01
1.32667411e+01,-1.46151267e+01,-1.31389694e+01,1.91714633e+41,4.92257494e+40,2.56765739e-01
1.32833953e+01,-1.46150616e+01,-1.31397956e+01,1.91703139e+41,4.92632307e+40,2.56976652e-01
1.33000490e+01,-1.46149861e+01,-1.31406207e+01,1.91689808e+41,4.93006828e+40,2.57189901e-01
1.33167015e+01,-1.46149011e+01,-1.31414446e+01,1.91674802e+41,4.93381045e+40,2.57405272e-01
