run_id,label,surface_radius_Rsun,surface_H,surface_He,surface_C,surface_O,surface_other_metals,surface_Ni,outer_0p01_H,outer_0p01_He,outer_0p01_C,outer_0p01_O,outer_0p01_other_metals,outer_0p01_Ni
wn3_sce_bare_e1_ni001,Bare WN3,0.53406262,3.19254106e-09,7.67379315e-01,7.83119302e-02,1.15337522e-01,3.89710753e-02,1.54441865e-07,3.19254106e-09,7.67379315e-01,7.83119302e-02,1.15337522e-01,3.89710753e-02,1.54441865e-07
wn3_sce_mass_m0p01_r5_e1_ni001,+0.01 $M_\odot$ to 5 $R_\odot$,4.9877557,3.12362173e-09,7.70812969e-01,7.71550750e-02,1.13513745e-01,3.85180559e-02,1.51901235e-07,3.12362173e-09,7.70812969e-01,7.71550750e-02,1.13513745e-01,3.85180559e-02,1.51901235e-07
wn3_sce_radius_m0p01_r50_e1_ni001,+0.01 $M_\odot$ to 50 $R_\odot$,49.861851,3.12362173e-09,7.70812969e-01,7.71550750e-02,1.13513745e-01,3.85180559e-02,1.51901235e-07,3.12362173e-09,7.70812969e-01,7.71550750e-02,1.13513745e-01,3.85180559e-02,1.51901235e-07
