run_id,label,ni_mass_msun,energy_foe,max_time_hours,peak_time_hours_0_48h,peak_luminosity_Lsun_0_48h,luminosity_0p25h_Lsun,teff_0p25h_K,rphoto_0p25h_Rsun,luminosity_0p5h_Lsun,teff_0p5h_K,rphoto_0p5h_Rsun,luminosity_1p0h_Lsun,teff_1p0h_K,rphoto_1p0h_Rsun,luminosity_3p0h_Lsun,teff_3p0h_K,rphoto_3p0h_Rsun,luminosity_6p0h_Lsun,teff_6p0h_K,rphoto_6p0h_Rsun,luminosity_12p0h_Lsun,teff_12p0h_K,rphoto_12p0h_Rsun,luminosity_24p0h_Lsun,teff_24p0h_K,rphoto_24p0h_Rsun,luminosity_48p0h_Lsun,teff_48p0h_K,rphoto_48p0h_Rsun
wn3_sce_bare_e1_ni001,"Bare WN3, Ni=0.001",0.001,1.0,48.0,0.01667666996138889,28912427.733866934,6431863.590429194,40343.6282010296,53.055483631035855,12041839.211719986,33057.021995784446,108.12099790739029,11288960.429812439,22961.08982228013,216.98519098379742,12838161.02262492,14889.371548423549,550.2833109061067,11535183.578316493,11815.672505642393,828.2910850126217,9199893.697712993,9033.642302630142,1265.474029014369,5947262.849870093,6518.031004228737,1954.3994150719168,2359315.608454227,4178.8857616,2994.7423173781804
wn3_sce_mass_m0p01_r5_e1_ni001,"WN3 + 0.01 Msol to 5 Rsun, Ni=0.001",0.001,1.0,48.0,0.06668655609722222,1115962339.0445223,228453550.7632931,115139.52667699475,38.82022146314178,125155505.57384333,66913.71314327532,85.0724394844493,155429534.13943613,48881.08441692329,177.65330442986533,185000542.6543366,29398.019807841152,535.8435962495697,165449920.2013408,21062.787498632842,987.1638118197075,116807040.31598744,14465.649116336997,1758.5157873219719,21266782.82935878,9080.8107143012,1904.097791868644,3569779.317658829,4618.5394804,3015.774598677591
wn3_sce_radius_m0p01_r50_e1_ni001,"WN3 + 0.01 Msol to 50 Rsun, Ni=0.001",0.001,1.0,48.0,0.5500540095555556,117773087988.99449,0.6864695072667099,752.1722420071924,49.8607909731837,2.689576552613404,1058.2484629507637,49.860068917827064,2647204224.7418838,117402.0515889518,127.09573423120762,1832050802.1891913,54757.025021180794,486.04538451743593,1597160013.6233268,37356.76567934514,975.0419730280435,949693180.5623704,24465.84261087232,1752.9071863228837,309351788.4990824,14269.354359709672,2941.069427915045,14747640.58004002,6444.8308873,3147.9354339514157
