   0.000000000E+00   0.108832530E+06   0.258396871E+00  -0.963675435E+00  -0.433675435E+00   0.138396871E+00   0.538396871E+00   0.908396871E+00  -0.173367543E+01  -0.431603129E+00  -0.101603129E+00   0.483968710E-01   0.218396871E+00
   0.600174846E+02   0.423234074E+06  -0.348124701E+01  -0.478124701E+01  -0.421794205E+01  -0.360794205E+01  -0.319124701E+01  -0.281794205E+01  -0.555124701E+01  -0.421794205E+01  -0.386124701E+01  -0.369794205E+01  -0.351124701E+01
   0.120037370E+03   0.179209545E+06  -0.475452188E+01  -0.601805089E+01  -0.546805089E+01  -0.487452188E+01  -0.446452188E+01  -0.409805089E+01  -0.678805089E+01  -0.546805089E+01  -0.512452188E+01  -0.496452188E+01  -0.478452188E+01
   0.180063995E+03   0.130946051E+06  -0.557095323E+01  -0.681955241E+01  -0.627955241E+01  -0.569095323E+01  -0.529095323E+01  -0.492095323E+01  -0.758955241E+01  -0.627095323E+01  -0.594095323E+01  -0.578095323E+01  -0.561095323E+01
   0.240067988E+03   0.109403182E+06  -0.613705429E+01  -0.735986301E+01  -0.682986301E+01  -0.625705429E+01  -0.585705429E+01  -0.548705429E+01  -0.812986301E+01  -0.682705429E+01  -0.649705429E+01  -0.634705429E+01  -0.617705429E+01
   0.300053858E+03   0.955970919E+05  -0.654285952E+01  -0.775285952E+01  -0.723285952E+01  -0.665939231E+01  -0.626285952E+01  -0.590939231E+01  -0.852939231E+01  -0.722285952E+01  -0.690285952E+01  -0.675285952E+01  -0.658939231E+01
   0.360075640E+03   0.861248054E+05  -0.686762715E+01  -0.806617692E+01  -0.754762715E+01  -0.698617692E+01  -0.658762715E+01  -0.623762715E+01  -0.883617692E+01  -0.754617692E+01  -0.722617692E+01  -0.707762715E+01  -0.691762715E+01
   0.420073053E+03   0.788155818E+05  -0.713354983E+01  -0.831934716E+01  -0.781354983E+01  -0.724775250E+01  -0.685775250E+01  -0.650354983E+01  -0.909354983E+01  -0.780354983E+01  -0.748775250E+01  -0.734354983E+01  -0.718354983E+01
   0.480025336E+03   0.725918020E+05  -0.734919414E+01  -0.852320293E+01  -0.802320293E+01  -0.746320293E+01  -0.707919414E+01  -0.671919414E+01  -0.929721172E+01  -0.801320293E+01  -0.770320293E+01  -0.755919414E+01  -0.739919414E+01
   0.540071952E+03   0.668129870E+05  -0.752089824E+01  -0.868304283E+01  -0.819089824E+01  -0.763875365E+01  -0.725089824E+01  -0.689875365E+01  -0.946089824E+01  -0.818089824E+01  -0.787089824E+01  -0.773089824E+01  -0.757875365E+01
   0.600013614E+03   0.613498967E+05  -0.766262427E+01  -0.880260202E+01  -0.831262427E+01  -0.777262427E+01  -0.739262427E+01  -0.704262427E+01  -0.958260202E+01  -0.830262427E+01  -0.800262427E+01  -0.787262427E+01  -0.771264653E+01
   0.660049057E+03   0.562295747E+05  -0.776966793E+01  -0.889451261E+01  -0.841709027E+01  -0.787966793E+01  -0.749966793E+01  -0.715224558E+01  -0.967451261E+01  -0.840709027E+01  -0.810966793E+01  -0.797966793E+01  -0.782966793E+01
   0.720070241E+03   0.516060330E+05  -0.785697457E+01  -0.896207864E+01  -0.849207864E+01  -0.796697457E+01  -0.759187049E+01  -0.724697457E+01  -0.974207864E+01  -0.848207864E+01  -0.819697457E+01  -0.806697457E+01  -0.792187049E+01
   0.780055526E+03   0.475376575E+05  -0.793139272E+01  -0.901808120E+01  -0.855473696E+01  -0.804139272E+01  -0.767139272E+01  -0.732804848E+01  -0.979808120E+01  -0.854473696E+01  -0.826473696E+01  -0.814139272E+01  -0.800139272E+01
   0.840034027E+03   0.439687102E+05  -0.798881400E+01  -0.905316851E+01  -0.860881400E+01  -0.809881400E+01  -0.773663675E+01  -0.739663675E+01  -0.984099126E+01  -0.859099126E+01  -0.831881400E+01  -0.820663675E+01  -0.806663675E+01
   0.900034991E+03   0.410332067E+05  -0.805197850E+01  -0.909652369E+01  -0.866425109E+01  -0.816197850E+01  -0.780197850E+01  -0.746197850E+01  -0.987879628E+01  -0.864425109E+01  -0.837425109E+01  -0.826425109E+01  -0.813197850E+01
   0.960016484E+03   0.386734193E+05  -0.811392458E+01  -0.914145192E+01  -0.871768825E+01  -0.822392458E+01  -0.786392458E+01  -0.753016091E+01  -0.992145192E+01  -0.869768825E+01  -0.843392458E+01  -0.832392458E+01  -0.820016091E+01
   0.102005431E+04   0.369003652E+05  -0.818195146E+01  -0.919604774E+01  -0.877899960E+01  -0.829195146E+01  -0.793490332E+01  -0.760490332E+01  -0.997604774E+01  -0.875899960E+01  -0.850195146E+01  -0.839490332E+01  -0.827195146E+01
   0.108005557E+04   0.356015142E+05  -0.825793645E+01  -0.926179548E+01  -0.884986596E+01  -0.836793645E+01  -0.801600694E+01  -0.768600694E+01  -0.100417955E+02  -0.882986596E+01  -0.857793645E+01  -0.847600694E+01  -0.834793645E+01
   0.114002770E+04   0.347066885E+05  -0.834209301E+01  -0.933695595E+01  -0.892866830E+01  -0.845209301E+01  -0.810209301E+01  -0.777380536E+01  -0.101169559E+02  -0.890866830E+01  -0.866038066E+01  -0.856209301E+01  -0.843380536E+01
   0.120006201E+04   0.341226978E+05  -0.843321741E+01  -0.942067681E+01  -0.901485701E+01  -0.854321741E+01  -0.819321741E+01  -0.786739761E+01  -0.102006768E+02  -0.899485701E+01  -0.874903721E+01  -0.865321741E+01  -0.852739761E+01
   0.126002501E+04   0.337844218E+05  -0.852800368E+01  -0.951117460E+01  -0.910678429E+01  -0.863800368E+01  -0.828800368E+01  -0.796361338E+01  -0.102911746E+02  -0.908678429E+01  -0.884239399E+01  -0.874800368E+01  -0.862361338E+01
