run_id,label,profile,energy_foe,complete,max_time_days,peak_time_days,peak_luminosity_Lsun,plateau_duration_days,luminosity_5d_Lsun,teff_5d_K,rphoto_5d_Rsun,luminosity_20d_Lsun,teff_20d_K,rphoto_20d_Rsun,luminosity_50d_Lsun,teff_50d_K,rphoto_50d_Rsun,luminosity_100d_Lsun,teff_100d_K,rphoto_100d_Rsun,luminosity_150d_Lsun,teff_150d_K,rphoto_150d_Rsun
rsg_e1_ni050,RSG 1.0 foe,RSG,1.0,True,196.75925925925927,1.9872834510416666,254962974162.08105,30.989351851851858,1003939970.4481727,16400.609437321433,4010.7138264593373,795528290.6303246,7590.923450135185,16665.802767680834,698554908.9565855,6030.991052930154,24740.616430630733,151522056.25212866,4335.7800467575935,22276.493073031703,58953444.65132353,2986.2721379697264,29216.363246923553
rsg_e2_ni050,RSG 2.0 foe,RSG,2.0,True,196.75925925925927,1.4363608342592593,633827729589.7949,26.562268190972215,1856135205.1462188,15658.0365113603,5982.988298766185,1452523050.6040375,7572.221652647669,22630.936551160743,1117243794.805706,6088.337989208667,30701.815434551158,111891356.96343422,3633.515965633298,27172.698588759944,52997245.1742644,2199.4551023571375,50913.487645097615
stripped_e1_ni050,Stripped 1.0 foe,Stripped,1.0,True,196.75925925925927,0.01968357245023148,3722172154.5772886,33.52818287037037,30358517.598855965,5444.792228420521,5983.054373612794,134978199.3907165,5248.559009508711,13751.229593047772,116282592.29953757,4087.2989897283787,18158.187964555065,58638167.849694625,nan,nan,27744592.89469611,nan,nan
stripped_e2_ni050,Stripped 2.0 foe,Stripped,2.0,True,196.75925925925927,0.019678278187500002,5961689635.317658,29.59184027777778,44919974.03560317,5404.57089463021,7377.997085265966,182218063.76147774,5289.306274547726,15329.071146729775,105818893.35861792,nan,nan,43285154.28298859,nan,nan,16649622.3273014,nan,nan
rsg_e0p5_ni050,RSG 0.5 foe (partial),RSG,0.5,False,4.741903709027778,2.6759325675925925,342241947373.6868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
stripped_e0p5_ni050,Stripped 0.5 foe (partial),Stripped,0.5,False,1.3969921443287037,0.0196782365150463,2576637110.0550275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
