  0.0000000000E+000 0000
  0.1700660660E+004 1000
  0.3401213679E+004 1000
  0.5101071467E+004 1000
  0.6801611970E+004 0999
  0.8502184133E+004 0999
  0.1020393782E+005 0998
  0.1190550219E+005 0997
  0.1360564639E+005 0996
  0.1530827643E+005 0995
  0.1700912535E+005 0993
  0.1871061563E+005 0991
  0.2041724521E+005 0989
  0.2211532629E+005 0987
  0.2381956687E+005 0985
  0.2551849859E+005 0984
  0.2722333143E+005 0982
  0.2892642445E+005 0980
  0.3063117886E+005 0979
  0.3232792760E+005 0977
  0.3403065790E+005 0975
  0.3574087382E+005 0973
  0.3743820952E+005 0972
  0.3913021570E+005 0970
  0.4086146497E+005 0968
  0.4255676659E+005 0966
  0.4426370866E+005 0963
  0.4597214194E+005 0961
  0.4766955813E+005 0958
  0.4934206695E+005 0955
  0.5105285057E+005 0952
  0.5275107612E+005 0949
  0.5447674660E+005 0946
  0.5618257323E+005 0942
  0.5785942418E+005 0939
  0.5960616816E+005 0935
  0.6126002618E+005 0930
  0.6297962640E+005 0926
  0.6470966895E+005 0921
  0.6638506459E+005 0916
  0.6812564996E+005 0911
  0.6979932386E+005 0906
  0.7153456095E+005 0901
  0.7318956588E+005 0896
  0.7490193702E+005 0890
  0.7659766849E+005 0885
  0.7835360271E+005 0880
  0.8000293691E+005 0874
  0.8170112756E+005 0869
  0.8344823032E+005 0863
  0.8515583927E+005 0858
  0.8681830401E+005 0853
  0.8852089453E+005 0848
  0.9023089453E+005 0843
  0.9194089453E+005 0837
  0.9365089453E+005 0832
  0.9536089453E+005 0827
  0.9707089453E+005 0823
  0.9878089453E+005 0818
  0.1003958945E+006 0813
  0.1021058945E+006 0809
  0.1038158945E+006 0804
  0.1055258945E+006 0800
  0.1072358945E+006 0796
  0.1089458945E+006 0791
  0.1106558945E+006 0787
  0.1123658945E+006 0783
  0.1140758945E+006 0779
  0.1157858945E+006 0775
  0.1174008945E+006 0772
  0.1191108945E+006 0768
  0.1208208945E+006 0765
  0.1225308945E+006 0761
  0.1242408945E+006 0758
  0.1259508945E+006 0754
  0.1276608945E+006 0751
  0.1293708945E+006 0748
  0.1310808945E+006 0745
  0.1326958945E+006 0742
  0.1344058945E+006 0739
  0.1361158945E+006 0736
  0.1378258945E+006 0733
  0.1395358945E+006 0731
  0.1412458945E+006 0728
  0.1429558945E+006 0725
  0.1446658945E+006 0723
  0.1463758945E+006 0720
  0.1480858945E+006 0718
  0.1497008945E+006 0715
  0.1514108945E+006 0713
  0.1531208945E+006 0710
  0.1548308945E+006 0708
  0.1565408945E+006 0706
  0.1582508945E+006 0703
  0.1599608945E+006 0701
  0.1616708945E+006 0699
  0.1633808945E+006 0697
  0.1649958945E+006 0695
  0.1667058945E+006 0692
  0.1684158945E+006 0690
  0.1701258945E+006 0688
  0.1718358945E+006 0686
  0.1735458945E+006 0684
  0.1752558945E+006 0682
  0.1769658945E+006 0679
  0.1786758945E+006 0677
  0.1803858945E+006 0675
  0.1820008945E+006 0673
  0.1837108945E+006 0671
  0.1854208945E+006 0669
  0.1871308945E+006 0667
  0.1888408945E+006 0665
  0.1905508945E+006 0663
  0.1922608945E+006 0661
  0.1939708945E+006 0658
  0.1956808945E+006 0656
  0.1972958945E+006 0654
  0.1990058945E+006 0652
  0.2007158945E+006 0650
  0.2024258945E+006 0648
  0.2041358945E+006 0646
  0.2058458945E+006 0644
  0.2075558945E+006 0642
  0.2092658945E+006 0640
  0.2109758945E+006 0638
  0.2126858945E+006 0636
  0.2143008945E+006 0634
  0.2160108945E+006 0632
  0.2177208945E+006 0630
  0.2194308945E+006 0628
  0.2211408945E+006 0626
  0.2228508945E+006 0624
  0.2245608945E+006 0622
  0.2262708945E+006 0620
  0.2279808945E+006 0618
  0.2295958945E+006 0616
  0.2313058945E+006 0614
  0.2330158945E+006 0613
  0.2347258945E+006 0611
  0.2364358945E+006 0609
  0.2381458945E+006 0607
  0.2398558945E+006 0605
  0.2415658945E+006 0603
  0.2432758945E+006 0601
  0.2449858945E+006 0599
  0.2466008945E+006 0598
