   0.000000000E+00   0.184145286E+05  -0.507668904E+01  -0.570131151E+01  -0.548643735E+01  -0.515412611E+01  -0.488668904E+01  -0.460925196E+01  -0.650874858E+01  -0.543643735E+01  -0.532156319E+01  -0.529412611E+01  -0.523925196E+01
   0.170027656E+04   0.132861572E+06  -0.116937038E+02  -0.129437038E+02  -0.124037038E+02  -0.118144025E+02  -0.114137038E+02  -0.110437038E+02  -0.137144025E+02  -0.123944025E+02  -0.120637038E+02  -0.119044025E+02  -0.117337038E+02
   0.340057350E+04   0.673539632E+05  -0.127358952E+02  -0.138991775E+02  -0.134058952E+02  -0.128526128E+02  -0.124658952E+02  -0.121126128E+02  -0.146758952E+02  -0.133958952E+02  -0.130858952E+02  -0.129458952E+02  -0.127926128E+02
   0.510007363E+04   0.561486668E+05  -0.133668002E+02  -0.144912253E+02  -0.140140128E+02  -0.134768002E+02  -0.130968002E+02  -0.127495877E+02  -0.152712253E+02  -0.140040128E+02  -0.137068002E+02  -0.135768002E+02  -0.134268002E+02
   0.680015120E+04   0.502886440E+05  -0.136570118E+02  -0.147584532E+02  -0.142884532E+02  -0.137670118E+02  -0.133955704E+02  -0.130470118E+02  -0.155384532E+02  -0.142784532E+02  -0.139970118E+02  -0.138670118E+02  -0.137255704E+02
   0.850017228E+04   0.432043245E+05  -0.138527190E+02  -0.149121481E+02  -0.144724335E+02  -0.139627190E+02  -0.136027190E+02  -0.132627190E+02  -0.157018626E+02  -0.144524335E+02  -0.141824335E+02  -0.140724335E+02  -0.139327190E+02
   0.102012821E+05   0.385406975E+05  -0.140143355E+02  -0.150408872E+02  -0.146176113E+02  -0.141243355E+02  -0.137643355E+02  -0.134310596E+02  -0.158208872E+02  -0.145976113E+02  -0.143343355E+02  -0.142243355E+02  -0.141010596E+02
   0.119019841E+05   0.350479922E+05  -0.141293751E+02  -0.151285649E+02  -0.147188349E+02  -0.142393751E+02  -0.138893751E+02  -0.135596451E+02  -0.159085649E+02  -0.146988349E+02  -0.144491050E+02  -0.143493751E+02  -0.142196451E+02
   0.136011941E+05   0.323531065E+05  -0.142220265E+02  -0.151866924E+02  -0.147902485E+02  -0.143302485E+02  -0.139820265E+02  -0.136638045E+02  -0.159666924E+02  -0.147684705E+02  -0.145302485E+02  -0.144402485E+02  -0.143220265E+02
   0.153028049E+05   0.305574766E+05  -0.142759482E+02  -0.152162048E+02  -0.148360337E+02  -0.143760337E+02  -0.140359482E+02  -0.137258626E+02  -0.159962048E+02  -0.148061192E+02  -0.145760337E+02  -0.144860337E+02  -0.143759482E+02
   0.170024839E+05   0.290187607E+05  -0.143314833E+02  -0.152419461E+02  -0.148767147E+02  -0.144240990E+02  -0.140914833E+02  -0.137814833E+02  -0.160293304E+02  -0.148467147E+02  -0.146240990E+02  -0.145414833E+02  -0.144314833E+02
