1183   20
1.0d0 1.0d0 3.0d0 4.0d0 12.0d0 14.0d0 16.0d0 20.0d0 24.0d0 28.0d0 32.0d0 36.0d0 40.0d0 44.0d0 48.0d0 56.0d0 52.0d0 54.0d0 56.0d0 56.0d0
0.0d0 1.0d0 2.0d0 2.0d0 6.0d0 7.0d0 8.0d0 10.0d0 12.0d0 14.0d0 16.0d0 18.0d0 20.0d0 22.0d0 24.0d0 24.0d0 26.0d0 26.0d0 26.0d0 28.0d0
   8.547418e+26   4.807073e+05   4.055052e-03   7.068894e-06   3.000022e-30   7.582158e-03   6.649272e-07   7.020170e-33   2.194735e-07   1.879071e-09   1.316839e-08   2.049293e-07   3.313394e-08   4.120722e-09   7.251685e-10   2.140438e-11   1.636104e-11   7.232027e-04   1.254772e-11   4.113324e-05   9.875902e-01   5.358225e-12
   1.709485e+27   6.056586e+05   4.054808e-03   7.069217e-06   3.000022e-30   7.582300e-03   6.649346e-07   7.020331e-33   2.194792e-07   1.879098e-09   1.316896e-08   2.049452e-07   3.313693e-08   4.121129e-09   7.252501e-10   2.140662e-11   1.636302e-11   7.231329e-04   1.254943e-11   4.113643e-05   9.875904e-01   5.359052e-12
   3.418971e+27   7.630933e+05   4.054520e-03   7.069606e-06   3.000022e-30   7.582472e-03   6.649438e-07   7.020526e-33   2.194860e-07   1.879132e-09   1.316966e-08   2.049643e-07   3.314051e-08   4.121617e-09   7.253477e-10   2.140929e-11   1.636538e-11   7.230497e-04   1.255148e-11   4.114025e-05   9.875906e-01   5.360039e-12
   6.837939e+27   9.614600e+05   4.054063e-03   7.070223e-06   3.000022e-30   7.582746e-03   6.649586e-07   7.020836e-33   2.194970e-07   1.879186e-09   1.317076e-08   2.049946e-07   3.314620e-08   4.122391e-09   7.255027e-10   2.141354e-11   1.636912e-11   7.229180e-04   1.255472e-11   4.114631e-05   9.875909e-01   5.361606e-12
   1.367587e+28   1.211410e+06   4.053340e-03   7.071203e-06   3.000022e-30   7.583183e-03   6.649822e-07   7.021324e-33   2.195144e-07   1.879273e-09   1.317252e-08   2.050427e-07   3.315523e-08   4.123620e-09   7.257487e-10   2.142029e-11   1.637507e-11   7.227079e-04   1.255987e-11   4.115591e-05   9.875914e-01   5.364092e-12
   2.735175e+28   1.526373e+06   4.052201e-03   7.072765e-06   3.000022e-30   7.583883e-03   6.650204e-07   7.022086e-33   2.195422e-07   1.879413e-09   1.317532e-08   2.051192e-07   3.316956e-08   4.125570e-09   7.261389e-10   2.143099e-11   1.638450e-11   7.223734e-04   1.256803e-11   4.117113e-05   9.875922e-01   5.368031e-12
   5.470349e+28   1.923293e+06   4.050379e-03   7.075236e-06   3.000022e-30   7.584983e-03   6.650796e-07   7.023300e-33   2.195860e-07   1.879631e-09   1.317975e-08   2.052405e-07   3.319233e-08   4.128669e-09   7.267595e-10   2.144800e-11   1.639951e-11   7.218454e-04   1.258103e-11   4.119536e-05   9.875934e-01   5.374306e-12
   1.094070e+29   2.423567e+06   4.047487e-03   7.079160e-06   3.000022e-30   7.586728e-03   6.651735e-07   1.400000e-29   2.196554e-07   1.879976e-09   1.318677e-08   2.054332e-07   3.322849e-08   4.133593e-09   7.277455e-10   2.147502e-11   1.642335e-11   7.210080e-04   1.260168e-11   4.123384e-05   9.875953e-01   5.384281e-12
   2.188139e+29   3.054242e+06   4.042969e-03   7.085430e-06   3.000022e-30   7.589556e-03   6.653295e-07   7.028070e-33   2.197677e-07   1.880544e-09   1.319802e-08   2.057398e-07   3.328595e-08   4.141410e-09   7.293095e-10   2.151789e-11   1.646114e-11   7.196796e-04   1.263438e-11   4.129470e-05   9.875983e-01   5.400070e-12
   4.376279e+29   3.849582e+06   4.035748e-03   7.095359e-06   3.000022e-30   7.593998e-03   6.655706e-07   7.032509e-33   2.199441e-07   1.881426e-09   1.321580e-08   2.062269e-07   3.337735e-08   4.153854e-09   7.318015e-10   2.158616e-11   1.652138e-11   7.175908e-04   1.268657e-11   4.139173e-05   9.876030e-01   5.425288e-12
