   0.000000000E+00   0.500000000E+04               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN
   0.600135149E+02   0.500000000E+04   0.109179245E+02   0.129506601E+02   0.117402514E+02   0.110166456E+02   0.107398427E+02   0.106224004E+02   0.120212995E+02   0.119689726E+02   0.112240879E+02   0.106779245E+02   0.102311216E+02
   0.120055958E+03   0.500000000E+04   0.941306411E+01   0.114457997E+02   0.102353911E+02   0.951178527E+01   0.923498238E+01   0.911754007E+01   0.105164391E+02   0.104641122E+02   0.971922758E+01   0.917306411E+01   0.872626122E+01
   0.180022494E+03   0.500000000E+04   0.853460775E+01   0.105673434E+02   0.935693469E+01   0.863332890E+01   0.835652601E+01   0.823908370E+01   0.963798278E+01   0.958565584E+01   0.884077122E+01   0.829460775E+01   0.784780486E+01
   0.240033068E+03   0.500000000E+04   0.791114024E+01   0.994387585E+01   0.873346718E+01   0.800986140E+01   0.773305851E+01   0.761561619E+01   0.901451528E+01   0.896218834E+01   0.821730371E+01   0.767114024E+01   0.722433735E+01
   0.300047137E+03   0.500000000E+04   0.742775805E+01   0.946049366E+01   0.825008498E+01   0.752647920E+01   0.724967631E+01   0.713223400E+01   0.853113308E+01   0.847880614E+01   0.773392152E+01   0.718775805E+01   0.674095515E+01
   0.360009097E+03   0.500000000E+04   0.703331945E+01   0.906605507E+01   0.785564639E+01   0.713204061E+01   0.685523772E+01   0.673779541E+01   0.813669449E+01   0.808436755E+01   0.733948292E+01   0.679331945E+01   0.634651656E+01
   0.420036399E+03   0.500000000E+04   0.669964086E+01   0.873237648E+01   0.752196780E+01   0.679836202E+01   0.652155913E+01   0.640411681E+01   0.780301590E+01   0.775068896E+01   0.700580433E+01   0.645964086E+01   0.601283797E+01
   0.480020734E+03   0.500000000E+04   0.641097323E+01   0.844370884E+01   0.723330017E+01   0.650969439E+01   0.623289150E+01   0.611544918E+01   0.751434826E+01   0.746202133E+01   0.671713670E+01   0.617097323E+01   0.572417034E+01
   0.540030052E+03   0.500000000E+04   0.615639238E+01   0.818912799E+01   0.697871932E+01   0.625511353E+01   0.597831064E+01   0.586086833E+01   0.725976741E+01   0.720744047E+01   0.646255585E+01   0.591639238E+01   0.546958949E+01
   0.600012039E+03   0.500000000E+04   0.592890632E+01   0.796164193E+01   0.675123326E+01   0.602762747E+01   0.575082458E+01   0.563338227E+01   0.703228135E+01   0.697995441E+01   0.623506979E+01   0.568890632E+01   0.524210343E+01
   0.660012501E+03   0.500000000E+04   0.572318831E+01   0.775592392E+01   0.654551525E+01   0.582190946E+01   0.554510657E+01   0.542766426E+01   0.682656334E+01   0.677423640E+01   0.602935178E+01   0.548318831E+01   0.503638542E+01
   0.720003777E+03   0.500000000E+04   0.553553651E+01   0.756827213E+01   0.635786345E+01   0.563425767E+01   0.535745478E+01   0.524001247E+01   0.663891155E+01   0.658658461E+01   0.584169998E+01   0.529553651E+01   0.484873362E+01
   0.780037716E+03   0.500000000E+04   0.536291448E+01   0.739565009E+01   0.618524142E+01   0.546163563E+01   0.518483274E+01   0.506739043E+01   0.646628951E+01   0.641396257E+01   0.566907795E+01   0.512291448E+01   0.467611158E+01
   0.840064942E+03   0.500000000E+04   0.520323102E+01   0.723596663E+01   0.602555796E+01   0.530195218E+01   0.502514929E+01   0.490770697E+01   0.630660605E+01   0.625427912E+01   0.550939449E+01   0.496323102E+01   0.451642813E+01
   0.900043194E+03   0.500000000E+04   0.505480168E+01   0.708753729E+01   0.587712862E+01   0.515352283E+01   0.487671994E+01   0.475927763E+01   0.615817671E+01   0.610584977E+01   0.536096515E+01   0.481480168E+01   0.436799879E+01
   0.960004281E+03   0.500000000E+04   0.491609710E+01   0.694883271E+01   0.573842404E+01   0.501481826E+01   0.473801536E+01   0.462057305E+01   0.601947213E+01   0.596714520E+01   0.522226057E+01   0.467609710E+01   0.422929421E+01
   0.102002204E+04   0.500000000E+04   0.478578317E+01   0.681851878E+01   0.560811011E+01   0.488450433E+01   0.460770143E+01   0.449025912E+01   0.588915820E+01   0.583683127E+01   0.509194664E+01   0.454578317E+01   0.409898028E+01
   0.108001007E+04   0.500000000E+04   0.466308144E+01   0.669581705E+01   0.548540838E+01   0.476180260E+01   0.448499970E+01   0.436755739E+01   0.576645647E+01   0.571412954E+01   0.496924491E+01   0.442308144E+01   0.397627855E+01
   0.114003837E+04   0.500000000E+04   0.454703629E+01   0.657977190E+01   0.536936322E+01   0.464575744E+01   0.436895455E+01   0.425151224E+01   0.565041132E+01   0.559808438E+01   0.485319975E+01   0.430703629E+01   0.386023339E+01
   0.120005512E+04   0.500000000E+04   0.443706329E+01   0.646979891E+01   0.525939023E+01   0.453578445E+01   0.425898156E+01   0.414153925E+01   0.554043833E+01   0.548811139E+01   0.474322676E+01   0.419706329E+01   0.375026040E+01
   0.126000792E+04   0.500000000E+04   0.433265993E+01   0.636539554E+01   0.515498687E+01   0.443138109E+01   0.415457820E+01   0.403713588E+01   0.543603497E+01   0.538370803E+01   0.463882340E+01   0.409265993E+01   0.364585704E+01
   0.132004886E+04   0.500000000E+04   0.423305858E+01   0.626579419E+01   0.505538552E+01   0.433177974E+01   0.405497684E+01   0.393753453E+01   0.533643361E+01   0.528410668E+01   0.453922205E+01   0.399305858E+01   0.354625569E+01
   0.138005332E+04   0.500000000E+04   0.413803382E+01   0.617076943E+01   0.496036076E+01   0.423675497E+01   0.395995208E+01   0.384250977E+01   0.524140885E+01   0.518908191E+01   0.444419729E+01   0.389803382E+01   0.345123093E+01
   0.144002108E+04   0.500000000E+04   0.404719565E+01   0.607993126E+01   0.486952259E+01   0.414591681E+01   0.386911391E+01   0.375167160E+01   0.515057068E+01   0.509824374E+01   0.435335912E+01   0.380719565E+01   0.336039276E+01
   0.150003496E+04   0.500000000E+04   0.396008399E+01   0.599281960E+01   0.478241093E+01   0.405880514E+01   0.378200225E+01   0.366455994E+01   0.506345902E+01   0.501113208E+01   0.426624746E+01   0.372008399E+01   0.327328109E+01
   0.156004745E+04   0.500000000E+04   0.387647630E+01   0.590921191E+01   0.469880324E+01   0.397519746E+01   0.369839457E+01   0.358095225E+01   0.497985134E+01   0.492752440E+01   0.418263977E+01   0.363647630E+01   0.318967341E+01
   0.162005871E+04   0.500000000E+04   0.379610938E+01   0.582884500E+01   0.461843632E+01   0.389483054E+01   0.361802765E+01   0.350058534E+01   0.489948442E+01   0.484715748E+01   0.410227285E+01   0.355610938E+01   0.310930649E+01
