  0.0000000000E+000 0000
  0.1700199635E+004 1000
  0.3400102560E+004 1000
  0.5100193532E+004 1000
  0.6800130014E+004 1000
  0.8500115642E+004 0999
  0.1020016397E+005 0999
  0.1190013321E+005 0998
  0.1360017774E+005 0998
  0.1530019074E+005 0997
  0.1700019890E+005 0995
  0.1870016069E+005 0994
  0.2040014519E+005 0993
  0.2210019044E+005 0991
  0.2380010542E+005 0990
  0.2550017525E+005 0989
  0.2720014307E+005 0988
  0.2890014762E+005 0986
  0.3060011132E+005 0985
  0.3230017717E+005 0984
  0.3400019016E+005 0983
  0.3570013016E+005 0981
  0.3740015311E+005 0980
  0.3910016734E+005 0979
  0.4080011993E+005 0977
  0.4250010253E+005 0976
  0.4420013750E+005 0974
  0.4590015992E+005 0972
  0.4760010155E+005 0970
  0.4930011851E+005 0968
  0.5100016599E+005 0965
  0.5270016111E+005 0963
  0.5440020060E+005 0960
  0.5610017877E+005 0957
  0.5780017120E+005 0954
  0.5950010934E+005 0951
  0.6120019019E+005 0948
  0.6290017757E+005 0944
  0.6460017484E+005 0940
  0.6630015326E+005 0936
  0.6800019659E+005 0932
  0.6970013061E+005 0928
  0.7140011258E+005 0924
  0.7310019490E+005 0920
  0.7480019629E+005 0915
  0.7650018479E+005 0911
  0.7820012493E+005 0906
  0.7990010412E+005 0901
  0.8160015284E+005 0897
  0.8330014249E+005 0892
  0.8500014135E+005 0888
  0.8670011319E+005 0883
  0.8840014699E+005 0878
  0.9010014438E+005 0874
  0.9180013249E+005 0869
  0.9350012007E+005 0865
  0.9520012042E+005 0860
  0.9690019013E+005 0856
  0.9860018357E+005 0851
  0.1003001194E+006 0847
  0.1020001561E+006 0843
  0.1037001903E+006 0839
  0.1054001727E+006 0835
  0.1071001137E+006 0831
  0.1088001155E+006 0827
  0.1105001190E+006 0823
  0.1122001758E+006 0820
  0.1139001592E+006 0816
  0.1156001569E+006 0813
  0.1173001612E+006 0809
  0.1190001022E+006 0806
  0.1207001213E+006 0802
