  1.1678146667E+009  4.2613190078E-005  7.5044655499E+028
  2.3446561836E+009  4.2902388332E-005  1.5066816176E+029
  3.5305529278E+009  4.3198323382E-005  2.2687498370E+029
  4.7255920306E+009  4.3498998597E-005  3.0366962068E+029
  5.9298641344E+009  4.3804445093E-005  3.8105660675E+029
  7.1434205054E+009  4.4116252886E-005  4.5904051097E+029
  8.3663303742E+009  4.4433926851E-005  5.3762593759E+029
  9.5986791224E+009  4.4757048170E-005  6.1681752642E+029
  1.0840538759E+010  4.5086275955E-005  6.9661995305E+029
  1.2091961716E+010  4.5422494300E-005  7.7703792911E+029
  1.3353036908E+010  4.5764559863E-005  8.5807620259E+029
  1.4623851576E+010  4.6112724755E-005  9.3973955811E+029
  1.5904462695E+010  4.6468279748E-005  1.0220328172E+030
  1.7194938455E+010  4.6831013462E-005  1.1049608386E+030
  1.8495369407E+010  4.7200320660E-005  1.1885285184E+030
  1.9805843433E+010  4.7576513644E-005  1.2727407906E+030
  2.1126421741E+010  4.7960778586E-005  1.3576026272E+030
  2.2457171861E+010  4.8353108275E-005  1.4431190386E+030
  2.3798184797E+010  4.8752883315E-005  1.5292950738E+030
  2.5149550818E+010  4.9160373893E-005  1.6161358207E+030
  2.6511360278E+010  4.9575828098E-005  1.7036464066E+030
  2.7883650867E+010  5.0001415962E-005  1.7918319982E+030
  2.9266515133E+010  5.0435401888E-005  1.8806978020E+030
  3.0660046312E+010  5.0878037891E-005  1.9702490649E+030
  3.2064332234E+010  5.1329807333E-005  2.0604910741E+030
  3.3479457059E+010  5.1791139240E-005  2.1514291576E+030
  3.4905494513E+010  5.2262718867E-005  2.2430686845E+030
  3.6342520036E+010  5.2744797256E-005  2.3354150653E+030
  3.7790625526E+010  5.3237097251E-005  2.4284737523E+030
  3.9249897150E+010  5.3740168593E-005  2.5222502398E+030
  4.0720424361E+010  5.4254241498E-005  2.6167500645E+030
  4.2202308602E+010  5.4779239381E-005  2.7119788058E+030
  4.3695638071E+010  5.5316029842E-005  2.8079420862E+030
  4.5200459724E+010  5.5866528223E-005  2.9046455714E+030
  4.6716877720E+010  5.6429018208E-005  3.0020949710E+030
  4.8244988061E+010  5.7004226400E-005  3.1002960385E+030
  4.9784876541E+010  5.7592972033E-005  3.1992545718E+030
  5.1336637584E+010  5.8195388542E-005  3.2989764136E+030
  5.2900373597E+010  5.8811651538E-005  3.3994674516E+030
  5.4476179459E+010  5.9442537338E-005  3.5007336190E+030
  5.6064147728E+010  6.0088646307E-005  3.6027808945E+030
  5.7664361578E+010  6.0750866757E-005  3.7056153034E+030
  5.9276931091E+010  6.1428734945E-005  3.8092429169E+030
  6.0901936150E+010  6.2123978503E-005  3.9136698535E+030
  6.2539454026E+010  6.2837300644E-005  4.0189022787E+030
  6.4189596970E+010  6.3567990752E-005  4.1249464055E+030
  6.5852465472E+010  6.4317157688E-005  4.2318084949E+030
  6.7528158884E+010  6.5085530503E-005  4.3394948562E+030
  6.9216762565E+010  6.5874367113E-005  4.4480118474E+030
  7.0918386985E+010  6.6683437238E-005  4.5573658755E+030
  7.2633137681E+010  6.7513714214E-005  4.6675633968E+030
  7.4361101884E+010  6.8366733784E-005  4.7786109177E+030
  7.6102392094E+010  6.9242352586E-005  4.8905149944E+030
  7.7857116966E+010  7.0141616064E-005  5.0032822340E+030
  7.9625364896E+010  7.1066268094E-005  5.1169192944E+030
  8.1407254000E+010  7.2016097794E-005  5.2314328849E+030
  8.3202895578E+010  7.2992405680E-005  5.3468297666E+030
  8.5012398410E+010  7.3996370632E-005  5.4631167525E+030
  8.6835851536E+010  7.5029929390E-005  5.5803007086E+030
  8.8673363866E+010  7.6093454921E-005  5.6983885534E+030
  9.0525033596E+010  7.7188636962E-005  5.8173872591E+030
  9.2390953163E+010  7.8317027717E-005  5.9373038514E+030
